#https://arxiv.org/pdf/2102.07775
#z MAB Phi MAB- MAB+ Phi- Phi+
7 -22.19 0.000001 0 0 0.000002 0.000002
7 -21.69 0.000041 0 0 0.000011 0.000011
7 -21.19 0.000047 0 0 0.000015 0.000015
7 -20.69 0.000198 0 0 0.000036 0.000036
7 -20.19 0.000283 0 0 0.000066 0.000066
7 -19.69 0.000589 0 0 0.000126 0.000126
7 -19.19 0.001172 0 0 0.000336 0.000336
7 -18.69 0.001433 0 0 0.000419 0.000419
7 -17.94 0.005760 0 0 0.001440 0.001440
7 -16.94 0.008320 0 0 0.002900 0.002900
#
8 -21.85 0.000003 0 0 0.000002 0.000002
8 -21.35 0.000012 0 0 0.000004 0.000004
8 -20.85 0.000041 0 0 0.000011 0.000011
8 -20.10 0.000120 0 0 0.000040 0.000040
8 -19.35 0.000657 0 0 0.000233 0.000233
8 -18.60 0.001100 0 0 0.000340 0.000340
8 -17.60 0.003020 0 0 0.001140 0.001140
#
9 -21.92 0.000001 0 0 0.000001 0.000001
9 -21.12 0.000007 0 0 0.000003 0.000003
9 -20.32 0.000026 0 0 0.000009 0.000009
9 -19.12 0.000187 0 0 0.000150 0.000150
9 -17.92 0.000923 0 0 0.000501 0.000501

















