#https://arxiv.org/pdf/2403.03171
#z MAB Phi MAB- MAB+ Phi- Phi+
9 -20.75 12e-6 0 0 5e-6 8e-6
9 -20.25 32e-6 0 0 10e-6 13e-6
9 -19.75 144e-6 0 0 28e-6 30e-6
9 -19.25 235e-6 0 0 49e-6 60e-6
9 -18.55 486e-6 0 0 139e-6 157e-6
9 -18.05 1110e-6 0 0 310e-6 310e-6
9 -17.55 1776e-6 0 0 510e-6 578e-6
10 -20.75 4e-6 0 0 4e-6 10e-6
10 -20.25 27e-6 0 0 10e-6 13e-6
10 -19.75 92e-6 0 0 20e-6 25e-6
10 -19.25 177e-6 0 0 45e-6 53e-6
10 -18.55 321e-6 0 0 111e-6 127e-6
10 -18.05 686e-6 0 0 223e-6 245e-6
10 -17.55 1278e-6 0 0 432e-6 4868e-6

































